지점,지점명,일시,미세먼지
90,속초,2020-06-01 6:00,12
90,속초,2020-06-01 7:00,16
90,속초,2020-06-01 8:00,12
90,속초,2020-06-01 9:00,29
90,속초,2020-06-01 10:00,27
90,속초,2020-06-01 11:00,33
90,속초,2020-06-01 12:00,30
90,속초,2020-06-01 13:00,25
90,속초,2020-06-01 14:00,24
90,속초,2020-06-01 15:00,22
90,속초,2020-06-01 16:00,35
90,속초,2020-06-01 17:00,31
90,속초,2020-06-01 18:00,37
90,속초,2020-06-01 19:00,27
90,속초,2020-06-01 20:00,27
90,속초,2020-06-01 21:00,19
90,속초,2020-06-01 22:00,14
90,속초,2020-06-01 23:00,7
90,속초,2020-06-02 1:00,8
90,속초,2020-06-02 5:00,8
90,속초,2020-06-02 7:00,12
90,속초,2020-06-02 8:00,9
90,속초,2020-06-02 9:00,20
90,속초,2020-06-02 10:00,17
90,속초,2020-06-02 11:00,18
90,속초,2020-06-02 12:00,24
90,속초,2020-06-02 13:00,24
90,속초,2020-06-02 14:00,26
90,속초,2020-06-02 15:00,17
90,속초,2020-06-02 16:00,59
90,속초,2020-06-02 17:00,64
90,속초,2020-06-02 18:00,20
90,속초,2020-06-02 19:00,5
90,속초,2020-06-02 20:00,2
90,속초,2020-06-02 21:00,4
90,속초,2020-06-02 23:00,7
90,속초,2020-06-03 1:00,5
90,속초,2020-06-03 2:00,6
90,속초,2020-06-03 3:00,5
90,속초,2020-06-03 4:00,10
90,속초,2020-06-03 5:00,18
90,속초,2020-06-03 6:00,40
90,속초,2020-06-03 7:00,37
90,속초,2020-06-03 8:00,35
90,속초,2020-06-03 9:00,50
90,속초,2020-06-03 10:00,57
90,속초,2020-06-03 11:00,62
90,속초,2020-06-03 12:00,56
90,속초,2020-06-03 13:00,54
90,속초,2020-06-03 14:00,51
90,속초,2020-06-03 15:00,48
90,속초,2020-06-03 16:00,55
90,속초,2020-06-03 17:00,41
90,속초,2020-06-03 18:00,41
90,속초,2020-06-03 19:00,46
90,속초,2020-06-03 20:00,51
90,속초,2020-06-03 21:00,22
90,속초,2020-06-03 22:00,44
90,속초,2020-06-03 23:00,43
90,속초,2020-06-04 0:00,49
90,속초,2020-06-04 1:00,52
90,속초,2020-06-04 2:00,41
90,속초,2020-06-04 3:00,51
90,속초,2020-06-04 4:00,56
90,속초,2020-06-04 5:00,58
90,속초,2020-06-04 6:00,69
90,속초,2020-06-04 7:00,80
90,속초,2020-06-04 8:00,84
90,속초,2020-06-04 9:00,105
90,속초,2020-06-04 10:00,103
90,속초,2020-06-04 11:00,110
90,속초,2020-06-04 12:00,113
90,속초,2020-06-04 13:00,105
90,속초,2020-06-04 14:00,104
