지점,지점명,일시,기온,강수량,풍속,습도
99,파주,2020-06-01 6:00,16.6,,2.2,93
99,파주,2020-06-01 7:00,17.2,,1,88
99,파주,2020-06-01 8:00,18.3,,2.5,81
99,파주,2020-06-01 9:00,19.6,,2.3,74
99,파주,2020-06-01 10:00,21.2,,2.6,61
99,파주,2020-06-01 11:00,22.2,,3.2,54
99,파주,2020-06-01 12:00,22.6,,3.5,53
99,파주,2020-06-01 13:00,24.2,,4,49
99,파주,2020-06-01 14:00,24.3,,4.7,46
99,파주,2020-06-01 15:00,24,,5,42
99,파주,2020-06-01 16:00,23.9,,4.8,44
99,파주,2020-06-01 17:00,23.7,,3.4,46
99,파주,2020-06-01 18:00,22.3,,3.8,50
99,파주,2020-06-01 19:00,21,,2.2,56
99,파주,2020-06-01 20:00,18.1,,1.6,72
99,파주,2020-06-01 21:00,16.7,,1.2,76
99,파주,2020-06-01 22:00,15.7,,0.7,79
99,파주,2020-06-01 23:00,15.3,,2,80
99,파주,2020-06-02 0:00,14.3,,1.4,87
99,파주,2020-06-02 1:00,14,,0.7,91
99,파주,2020-06-02 2:00,13.9,,1,93
99,파주,2020-06-02 3:00,14,,0.9,93
99,파주,2020-06-02 4:00,13.1,,0,97
99,파주,2020-06-02 5:00,12.5,,0.1,98
99,파주,2020-06-02 6:00,13.1,,0.3,99
99,파주,2020-06-02 7:00,13.8,,0.4,98
99,파주,2020-06-02 8:00,14.6,,0.9,94
99,파주,2020-06-02 9:00,14.8,,0.5,93
99,파주,2020-06-02 10:00,14.3,1.1,2.3,97
99,파주,2020-06-02 11:00,14.2,3.5,6.7,94
99,파주,2020-06-02 12:00,16.4,0.3,1.3,79
99,파주,2020-06-02 13:00,20.4,,2.2,62
99,파주,2020-06-02 14:00,22.7,,2,55
99,파주,2020-06-02 15:00,20.7,,1.6,56
99,파주,2020-06-02 16:00,20.1,,1.1,57
99,파주,2020-06-02 17:00,19.2,,0.2,70
99,파주,2020-06-02 18:00,18.7,,1.3,68
99,파주,2020-06-02 19:00,18.2,,1.2,71
99,파주,2020-06-02 20:00,17.4,,0.1,79
99,파주,2020-06-02 21:00,17.3,,0.4,80
99,파주,2020-06-02 22:00,17.3,,0.9,82
99,파주,2020-06-02 23:00,17.3,,0.2,82
99,파주,2020-06-03 0:00,17.2,,0.6,87
99,파주,2020-06-03 1:00,17.1,,0.8,93
99,파주,2020-06-03 2:00,17.1,,1.9,93
99,파주,2020-06-03 3:00,17.1,,1,94
99,파주,2020-06-03 4:00,17,,0.5,95
99,파주,2020-06-03 5:00,17.1,,0,96
99,파주,2020-06-03 6:00,17.2,,0.7,97
99,파주,2020-06-03 7:00,17.7,,0.6,95
99,파주,2020-06-03 8:00,19.9,,0.7,84
99,파주,2020-06-03 9:00,20.1,,1.4,81
99,파주,2020-06-03 10:00,21,,1.1,78
99,파주,2020-06-03 11:00,22.8,,0.9,70
99,파주,2020-06-03 12:00,23.7,,1.2,67
99,파주,2020-06-03 13:00,25.2,,2.4,65
99,파주,2020-06-03 14:00,26.1,,2.3,60
99,파주,2020-06-03 15:00,26.3,,2.9,59
99,파주,2020-06-03 16:00,26.3,,4,60
99,파주,2020-06-03 17:00,25.2,,4.3,60
99,파주,2020-06-03 18:00,23.6,,4.3,71
99,파주,2020-06-03 19:00,21.5,,2.8,81
99,파주,2020-06-03 20:00,19.2,,3,91
99,파주,2020-06-03 21:00,19.2,,2.2,91
99,파주,2020-06-03 22:00,19.2,,2.2,89
99,파주,2020-06-03 23:00,19,,1.1,89
99,파주,2020-06-04 0:00,18.2,,1.6,89
99,파주,2020-06-04 1:00,18.8,,0.7,88
99,파주,2020-06-04 2:00,19.1,,0.5,90
99,파주,2020-06-04 3:00,19,,0.1,92
99,파주,2020-06-04 4:00,19.2,,1.5,96
99,파주,2020-06-04 5:00,18.8,,2.7,97
99,파주,2020-06-04 6:00,18.7,,2.2,99
99,파주,2020-06-04 7:00,18.7,,2.5,98
99,파주,2020-06-04 8:00,18.7,,1.8,96
99,파주,2020-06-04 9:00,19.1,,1.6,95
99,파주,2020-06-04 10:00,19,,2.1,97
99,파주,2020-06-04 11:00,20.3,,1.8,91
99,파주,2020-06-04 12:00,22.7,,2.3,78
99,파주,2020-06-04 13:00,23.3,,2.9,78
99,파주,2020-06-04 14:00,22.5,,2.6,75
99,파주,2020-06-04 15:00,21.8,,2,78
99,파주,2020-06-04 16:00,22.3,,1.7,78
99,파주,2020-06-04 17:00,21.5,,2.4,85
99,파주,2020-06-04 18:00,20.6,,1.7,88
99,파주,2020-06-04 19:00,20,,1.6,91
99,파주,2020-06-04 20:00,19.3,,1.3,94
99,파주,2020-06-04 21:00,19.1,,0.4,95
99,파주,2020-06-04 22:00,18.5,,0.5,99
99,파주,2020-06-04 23:00,18.5,,0.3,98
99,파주,2020-06-05 0:00,18.3,,0,97
99,파주,2020-06-05 1:00,17.4,,0.1,98
99,파주,2020-06-05 2:00,18,,0,99
99,파주,2020-06-05 3:00,17.6,,0,99
99,파주,2020-06-05 4:00,17.5,,1,100
99,파주,2020-06-05 5:00,17.1,,0,100
99,파주,2020-06-05 6:00,17.5,,0,99
99,파주,2020-06-05 7:00,18.2,,0.6,94
99,파주,2020-06-05 8:00,19.3,,0.2,89
99,파주,2020-06-05 9:00,20.3,,1.3,81
99,파주,2020-06-05 10:00,22,,1.4,76
99,파주,2020-06-05 11:00,23,,1,70
99,파주,2020-06-05 12:00,23.9,,1.4,68
99,파주,2020-06-05 13:00,25.6,,1.1,58
99,파주,2020-06-05 14:00,25.9,,1.8,56
99,파주,2020-06-05 15:00,27.2,,1.4,52
99,파주,2020-06-05 16:00,27.3,,1.2,52
99,파주,2020-06-05 17:00,27.2,,0.8,53
99,파주,2020-06-05 18:00,26.6,,1.5,60
99,파주,2020-06-05 19:00,23.7,,2.8,71
99,파주,2020-06-05 20:00,21.6,,0.9,78
99,파주,2020-06-05 21:00,19.9,,0.4,80
99,파주,2020-06-05 22:00,18.9,,0.9,89
99,파주,2020-06-05 23:00,17.3,,0.4,93
99,파주,2020-06-06 0:00,17.3,,0.2,97
